,pageTitle,sectionTitles,imageURL,question1,answer1,distractors1,question2,answer2,distractors2,question3,answer3,distractors3,question4,answer4,distractors4,imageQuestion,imageAnswerURL,imageDistractor1,imageDistractor2,imageDistractor3
21,Gujia,"Main, Similar Dishes",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Gujhia.JPG/320px-Gujhia.JPG,Which country is Gujia from?,India,"Pakistan, Yemen, Lithuania",What is a common filling for Gujia?,Dried fruit,"Beef, mung bean, peas",What shape is a Gujia?,Half moon,"Circle, flower, pleated round",How is a gujia prepared?,Fried,"Baked, steamed, boiled",Which is an example of a Gujia?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Gujia_dry.JPG/320px-Gujia_dry.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Fried_dumpling_%283337901416%29.jpg/320px-Fried_dumpling_%283337901416%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Xia_jian_jiao.jpg/320px-Xia_jian_jiao.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Deep_Fried_Cholent_Dumpling_%28F%C3%BClem%C3%BCle_Restaurant%29_%2841496749174%29.jpg/320px-Deep_Fried_Cholent_Dumpling_%28F%C3%BClem%C3%BCle_Restaurant%29_%2841496749174%29.jpg
22,Erke,"Main, Construction, History",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Erke_-_Noroeste_Argentino.jpg/320px-Erke_-_Noroeste_Argentino.jpg,Where are erkes used?,Bolivia,"Australia, Spain, Ethiopia ",When is the erke traditionally played?,Winter,"Summer, Spring, Fall",What is the exterior of the erke is wrapped in? ,wool,"bamboo fiber, sheep skin, cow hide ",How long can an erke be?,7 meters,"25 cm, 1 m, 10m",Which is an example of an erke?,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Erke.jpg/320px-Erke.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Didgeridoo_street_player-2.jpg/320px-Didgeridoo_street_player-2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Monks_during_Ongkor.jpg/320px-Monks_during_Ongkor.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Tiba_Safiental.jpg/320px-Tiba_Safiental.jpg
23,Detroit-style pizza,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Detroit_Style_Pizza_from_Calphalon_Bread_Pans.png/320px-Detroit_Style_Pizza_from_Calphalon_Bread_Pans.png,When was the Detroit-style pizza developed?,1940s,"1920s, 1960s, 1980s",What type of cheese is used in Detroit-style pizza?,Wisconsin brick,"Mozarella, Cheddar, American",What is the traditional shape of a Detroit-style pizza?,Rectangle,"Round, Square, Free-form ",Where is the sauce placed in a Detroit-style pizza?,On-top of the cheese,"Under the cheese, As a bottom and top layer, On the side",What is an example of a Detroit-style pizza?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Detroit_Style_Pizza_in_Lloyds_Detroit_Style_Pan_%28cropped%29.png/320px-Detroit_Style_Pizza_in_Lloyds_Detroit_Style_Pan_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Aurelio%27s_Pizza_%281%29.jpg/320px-Aurelio%27s_Pizza_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Chicago-style_pizza.jpg/320px-Chicago-style_pizza.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Pizza_pan.jpg/320px-Pizza_pan.jpg
24,La Scapigliata,"Main, description",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Leonardo_da_vinci_-_La_scapigliata.jpg/320px-Leonardo_da_vinci_-_La_scapigliata.jpg,"When was ""La Scapigliata"" painted?",Around 1500-1510,"Around 1600-1610, in 1555, in 1942",Who is the painting attributed to?,Leonardo da Vinci,"Michelangelo, Sandro Botticelli, Caravaggio",The eyes of the woman depicted are wide open,FALSE,TRUE,Which part of the painting is actually finished?,The Face,"The hair, the background,  the body","Which of these paintings is ""La Scapigliata""?",https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/La_Scapigliata_%28Leonard_de_Vinci%29.jpg/320px-La_Scapigliata_%28Leonard_de_Vinci%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/L%C3%A9onard_de_Vinci_-_Vierge%2C_Enfant_J%C3%A9sus%2C_ste_Anne_%26_st_Jean-Baptiste_1.jpg/320px-L%C3%A9onard_de_Vinci_-_Vierge%2C_Enfant_J%C3%A9sus%2C_ste_Anne_%26_st_Jean-Baptiste_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Study_for_the_Kneeling_Leda.jpg/320px-Study_for_the_Kneeling_Leda.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Leonardo_study_Madonna_of_the_rocks.jpeg/320px-Leonardo_study_Madonna_of_the_rocks.jpeg
25,Children's Peace Monument,"Main, Overview, Monument",https://upload.wikimedia.org/wikipedia/en/a/a4/Children%27s_Peace_Monument%2C_front_right_view.jpg,Where is the Children's Peace Monument located?,Japan,"China, United States, Indonesia",What was the statue unveiled?,in 1958,"In 1980, in 1992, in 1945",Which material is the crane hanging beneath the main structure of the monument?,Bronze,"Paper, balck marble, gold",What are the figures surrounding the monument?,Angels,"Birds, Planes, Gods",Which of these is the Children's Peace Monument? ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/20181111_Childrens_Peace_Monument.jpg/320px-20181111_Childrens_Peace_Monument.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Cenotaph_for_the_A_bomb_victims.jpg/320px-Cenotaph_for_the_A_bomb_victims.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Haneda_otorii1.JPG/320px-Haneda_otorii1.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Paper_Cranes.jpg/320px-Paper_Cranes.jpg
26,Macrolepiota procera,"Main, Description, Uses",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/ParasolMushroom.JPG/320px-ParasolMushroom.JPG,"In which regions can you find the ""parasol"" mushroom?",In temperate regions,"in artic regions, in sub-saharan regions, in tropical regions",Is the parasol mushroom edible?,Yes,No,"At full maturity, which shape does the cap have?",Flat,"Egg, Saddle, Free form",What is the characteristic pattern of the parasol mushroom's cap?,Snakeskin-like,"Polka dots, Spiral, Radial",Which of these examples is a Macrolepiota procera?,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Parasol_mushroom.jpg/320px-Parasol_mushroom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Fliegenpilz-1.jpg/320px-Fliegenpilz-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Melanophyllum_haematospermum_Hidalgo.jpg/320px-Melanophyllum_haematospermum_Hidalgo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Amiant-K%C3%B6rnchenschirmling_Cystoderma_amianthinum.jpg/330px-Amiant-K%C3%B6rnchenschirmling_Cystoderma_amianthinum.jpg
27,Bagna càuda,"Main, Overview",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Bagna_Cauda_a_la_Champaqu%C3%AD_019.jpg/320px-Bagna_Cauda_a_la_Champaqu%C3%AD_019.jpg,Which Italian region is Bagna Caoda from?,Piedmont,"Sicily, Sardinia, Apulia",What is generally bagna caoda served with?,Vegetables," Meat, Pasta, Fish",Which type of dish is Bagna Cauda?,Sauce,"Pie, Dessert, vegetable",Which Color is Bagna Cauda?,Beige,"Red, Green, Black",What is an example of Bagna Cauda?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bagna_c%C3%A0uda_%282016-01-30%29.jpg/320px-Bagna_c%C3%A0uda_%282016-01-30%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Swiss_fondue.jpg/320px-Swiss_fondue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Chocolatefondue.JPG/320px-Chocolatefondue.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Fondue2.jpg/320px-Fondue2.jpg
28,Eucomis,"Main, Distribution_and_habitat, Cultivation",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Eucomis_autumnalis_2_cropped.jpg/320px-Eucomis_autumnalis_2_cropped.jpg,In which period does the eucomis flower? ,Spring,"Winter, Summer, Fall",Does Eucomis grow in dry regions?,No,Yes,The eucomis has foliage on top which makes it resemble a pineapple,TRUE,FALSE,What is the shape of eucomis flowers,Star,"Funnel, Tube, Bowl",Which of these is an Eucomis?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Eucomis_bicolor_01.jpg/320px-Eucomis_bicolor_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg/320px-Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg/320px-%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Ornithogalum_narbonense.jpg/320px-Ornithogalum_narbonense.jpg
29,Monet,"Main, Paris and Algeria",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Claude_Monet%2C_Impression%2C_soleil_levant.jpg/320px-Claude_Monet%2C_Impression%2C_soleil_levant.jpg,What art movement did Monet found?,Impressionism,"Expressionism, Naturalism, Romanticism",What is the subject of some of Monet's best-known works?,Lily ponds,"Horses, Cathedrals, Forests",What was specific to the style of Monet and his fellow Impressionists? ,They painted the effects of light en plain air,"They only painted indoors, They used long brush strokes, They mostly copied from old masters ",Did Monet predominantly use primary colors? ,No,Yes,Which is a Monet painting?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Claude_Monet_La_Grenouill%C3%A9re.jpg/320px-Claude_Monet_La_Grenouill%C3%A9re.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/The_Fighting_Temeraire%2C_JMW_Turner%2C_National_Gallery.jpg/320px-The_Fighting_Temeraire%2C_JMW_Turner%2C_National_Gallery.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Alfred_Sisley_001.jpg/320px-Alfred_Sisley_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Wassily_Kandinsky%2C_1903%2C_The_Blue_Rider_%28Der_Blaue_Reiter%29%2C_oil_on_canvas%2C_52.1_x_54.6_cm%2C_Stiftung_Sammlung_E.G._B%C3%BChrle%2C_Zurich.jpg/320px-Wassily_Kandinsky%2C_1903%2C_The_Blue_Rider_%28Der_Blaue_Reiter%29%2C_oil_on_canvas%2C_52.1_x_54.6_cm%2C_Stiftung_Sammlung_E.G._B%C3%BChrle%2C_Zurich.jpg
30,Taj Mahal,"Main, Architecture and Design",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/320px-Taj_Mahal_%28Edited%29.jpeg,In what city is the Taj Mahal located?,Agra,"New Delhi, Jaipur, Ahmedabad",What material is the Taj Mahal dome made of?,Marble,"Sandstone, White granite, Wood",The design of the Taj Mahal is completely symmetrical on all sides of the building.,True,False,How many minarets does the Taj Mahal have? ,4,"2, 6, 8",Which is not part of the Taj Mahal?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/TUNISIE_MONASTIR_MAUSOLEE_BOURGHIBA_03.jpg/320px-TUNISIE_MONASTIR_MAUSOLEE_BOURGHIBA_03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/The_main_gateway_%28darwaza%29_to_the_Taj_Mahal.jpg/320px-The_main_gateway_%28darwaza%29_to_the_Taj_Mahal.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Persian_prince_tomb_taj_mahal.jpg/320px-Persian_prince_tomb_taj_mahal.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Facade_of_Taj_Mahal_%284718894898%29.jpg/320px-Facade_of_Taj_Mahal_%284718894898%29.jpg
31,Blue whale,"Main, Morphology",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg/320px-Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg,What does a blue whale's diet mostly consist of?,Krill,"Smaller fish, Algae, Shellfish ",Is blue whale the largest species of whale? ,Yes,No,What is one of the distinguishing features of blue whales? ,a unique pigmentation pattern along the back in the region of the dorsal fin,"the head represents up to one-third of the animal's length, it has a very large block-shaped head, it has an S-shaped blow hole",How many blowholes does the blue whale have?,1,"2, 3, 4",Which is (part of) the skelleton of a blue whale?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Joey_williams_with_a_19_foot_long_blue_whale_skull.jpg/320px-Joey_williams_with_a_19_foot_long_blue_whale_skull.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Physeter_macrocephalus_-_skeleton.jpg/320px-Physeter_macrocephalus_-_skeleton.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Zalophus_californianus_01.JPG/320px-Zalophus_californianus_01.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Gray_whale_skeleton.jpg/320px-Gray_whale_skeleton.jpg
32,Leafy seadragon,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Leafy_Seadragon_on_Kangaroo_Island.jpg/320px-Leafy_Seadragon_on_Kangaroo_Island.jpg,Where can the leafy seadragon be found?,along the southern and western coasts of Australia,"in the Indian Ocean, in the South Atlantic, in the Sea of Japan",What is a distinguished characteristic of the Leafy Seadragon? ,it has leaf-like protrusions coming from all over the body,"it has a cluster of black dots on its back, it has two prominent antennae, it has a curly tail-like abdomen which enables it to hold onto underwater plants ",What do leafy seadragons feed on? ,plankton,"algae, small fish, moon snails",What color is the leafy seadragon?,orange-brown,"brown-black, dark blue, green-blue",Which is a leafy seadragon?,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Leafy_Sea_Dragon_SA.jpg/320px-Leafy_Sea_Dragon_SA.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Alligator_Pipefish_2.jpg/320px-Alligator_Pipefish_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Phyllopteryx_taeniolatus1.jpg/320px-Phyllopteryx_taeniolatus1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Hippocampus.jpg/320px-Hippocampus.jpg
33,Arc de Triomf,"Main, Design",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barcelona_-_Arc_de_Triomf_%282%29.JPG/320px-Barcelona_-_Arc_de_Triomf_%282%29.JPG,In which occasion was the Arc de Triompf built?,The Barcelona World Fair,"The end of the Second World War, The end of the Spanish Civil War, The fall of Barcelona in 1714",Which one is the Arc de Triompf's architectonic style?,Neo-Mudéjar,"Art-deco, Baroque, Gothiic",Which material is the Arc de Triompf built with?,Red Brickwork,"Marble, Bronze, Wood",What is the material of the sculture in the main frieze,Stone,"Marble, Brickwork, Brass",Which of these is Barcelona's Arc de Triompf?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/14-08-06-barcelona-RalfR-002.jpg/320px-14-08-06-barcelona-RalfR-002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Arcul_de_Triumf-Bucuresti.jpg/320px-Arcul_de_Triumf-Bucuresti.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Arc_de_Triomphe%2C_Paris_5_February_2019.jpg/320px-Arc_de_Triomphe%2C_Paris_5_February_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Soldiers%27_and_Sailors%27_Arch.jpg/320px-Soldiers%27_and_Sailors%27_Arch.jpg
34,Suspiro de limeña,"Main, Origin, Preparation",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Suspiro_lime%C3%B1o.jpg/320px-Suspiro_lime%C3%B1o.jpg,The merengue in the top layer is made of egg white and which other ingredient?,Port wine syrup,"Corn syrup, Maple syrup, Water and sugar syrup","The Suspiro de limeña
is characteristic of which city?",Lima,"Arequipa, Trujillo, Piura",What is the color of the cream in the Suspiro de limeña?,Caramel,"White, Beige, Brown",Which spice is sprinkled on top of the Suspiro de limeña?,Cinnamon,"Cocoa, Ginger, Muscade",Which of these desserts is a Suspiro de limeña?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/3310_suspiro.jpg/320px-3310_suspiro.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ujuvad_saarekesed.jpg/320px-juvad_saarekesed.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Tarte_au_citron.JPG/320px-Tarte_au_citron.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flan_con_dulce_de_leche.jpg/320px-lan_con_dulce_de_leche.jpg
35,Ketupat,"Main, Other Uses",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ketupat2.jpg/320px-Ketupat2.jpg,Ketupat is used in Bali for temple decorations.,TRUE,FALSE,"The Ketupat
is characteristic of which region?",Southeast Asia,"China, India, Pakistan",Which is the shape Ketupat  Dumplings?,Diamond,"Cylinder, Round, Square",Ketupat is rice wrapped which with type of leaves?,Palm Leaves,"Grape Leaves, Corn Leaves, Banana Leaves",Which of these is a plate of Ketupat?,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Kulit_ketupat.JPG/320px-Kulit_ketupat.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Bollo_de_yuca.jpg/320px-Bollo_de_yuca.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Pamonhas.jpg/320px-Pamonhas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Katong_otak_otak.jpg/320px-Katong_otak_otak.jpg
36,Imperial Crown of the Holy Roman Empire,"Main, Appearance",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Holy_Roman_Empire_Crown_%28Imperial_Treasury%292.jpg/320px-Holy_Roman_Empire_Crown_%28Imperial_Treasury%292.jpg,When was the Crown of the  Holy Roman Empire made?,10-11th century,"15-16th century, 14-15th century, 19th century",Where is the crown being kept?,Vienna,"Praga, Rome, Copenhagen",How many hinged plates construct the base of the crown?,8,"6, 10, 1",Are the gemstones cut into facets or round-shaped?,Round Shaped,Faceted,Which of these is the IMperial Crown of the Holy Roman Empire?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Reichskrone_HRR_Front.jpg/320px-Reichskrone_HRR_Front.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/ImperialCrownOfIndia.jpg/320px-ImperialCrownOfIndia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Catherine_I_of_Russia%27s_crown_framework_01_by_shakko.JPG/320px-Catherine_I_of_Russia%27s_crown_framework_01_by_shakko.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/A_Szent_Korona_el%C3%B6lr%C5%91l_2.jpg/320px-A_Szent_Korona_el%C3%B6lr%C5%91l_2.jpg
37,Olmec colossal heads,Main,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Olmeca_head_in_Villahermosa.jpg/320px-Olmeca_head_in_Villahermosa.jpg,Who are the preople represented in the Olmec heads?,Olmec rulers,"Children, Warriors, Women",In which Mexican region you can find most of the Olmec heads? ,Veracruz,"Chiapas, Michoacan, Yucatan",How is the nose of a typical Olmec Head?,Flat,"Hooked, Aquiline, Upturned",In which material were the Olmenc Heads carved?,Basalt,"Marble, Granite, Limestone",Which of these is a Olmec Head?,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/CabezaColosal1_MuseoXalapa_v1.1.jpg/320px-CabezaColosal1_MuseoXalapa_v1.1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Statue_n%C3%A9olithique_model%C3%A9e_%28mus%C3%A9e_arch%C3%A9ologique%2C_Amman%2C_Jordanie%29_%2838288033154%29.jpg/320px-Statue_n%C3%A9olithique_model%C3%A9e_%28mus%C3%A9e_arch%C3%A9ologique%2C_Amman%2C_Jordanie%29_%2838288033154%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Ahu-Akivi-1.JPG/320px-Ahu-Akivi-1.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Mayan_-_Stucco_Portrait_Head_-_Walters_20092026.jpg/320px-Mayan_-_Stucco_Portrait_Head_-_Walters_20092026.jpg
38,Gayer-Anderson cat,"Main, Style and detail, Construction",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/British_Museum_Egypt_101-black.jpg/320px-British_Museum_Egypt_101-black.jpg,Which egyptian deity does the statue represent?,Bastet,"Sekhmet, Isis, Osiris",Which museum is now hosting the statue?,British Museum in London,"The Egyptian Museum in Cairo, The Egyptian Museum
in Turin, the Louvre Museum in Paris
",What is sculpted on the staute's forehead?,A scarab,"A ring, A geroglyph, A sceptrum",Which is the material of the statue's ornaments?,Gold,"Silver, Platinum, Gemstones",Which of these is the Gayer-Anderson cat?,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Gayer-Anderson_Cat_01-black.jpg/320px-Gayer-Anderson_Cat_01-black.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/WLA_brooklynmuseum_Mother_Cat_with_Kittens.jpg/320px-WLA_brooklynmuseum_Mother_Cat_with_Kittens.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/WLA_brooklynmuseum_bronze_cat_2.jpg/320px-WLA_brooklynmuseum_bronze_cat_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gato_en_bronce_%2826186458573%29.jpg/320px-Gato_en_bronce_%2826186458573%29.jpg
39,Leshan Giant Buddha,"Main, History, Composition",https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Leshan_Buddha_Statue_View.JPG/320px-Leshan_Buddha_Statue_View.JPG,Why did Hai Tong decide to construct the Leshan Giant Buddha in its present location?,to calm the waters of the river,"to honor the emperor, to generate tourism, to protect the people of Leshan from storms and droughts",What is the only part of the Leshan Giant Buddha's body that is NOT made of stone?,ears,"feet, nose, eyes",What kind of cliff face is the Leshan Giant Buddha carved out of?,red sandstone,"white granite, green marble, gray limestone",Where does the Leshan Giant Buddha sit?,At the confluence of two rivers,"Atop a mountain, At the bottom of a waterfall, In the desert",Which is the Leshan Giant Buddha?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Leshan_Giant_Buddha%2C_20161101.jpg/320px-Leshan_Giant_Buddha%2C_20161101.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Buddha_of_Bamiyan.jpg/320px-Buddha_of_Bamiyan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Rongxian_Dafo_2014.04.24_14-18-42.jpg/320px-Rongxian_Dafo_2014.04.24_14-18-42.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Gal_Viharaya_02.jpg/320px-Gal_Viharaya_02.jpg
40,Scottish Fold,"Main, Characteristics",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Basil_body.jpg/320px-Basil_body.jpg,All Scottish Folds are born with folded ears.,FALSE,TRUE,When did Scottish Fold become the name of a cat breed?,1960s,"1940s, 1920s, 1980s",What shape is the Scottish Fold's face?,Round,"Square, Triangle, Flat",How long are a Scottish Fold's legs?,medium-to-short,"very short, long, very long",Which is a Scottish Fold?,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Lilac_Scottish_Fold.jpg/320px-Lilac_Scottish_Fold.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Ukrainian_Levkoy_cat.jpg/320px-Ukrainian_Levkoy_cat.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cachorro_de_Gato_FoldEx_%28%22Belisario_del_Laberinto%22%29.JPG/320px-Cachorro_de_Gato_FoldEx_%28%22Belisario_del_Laberinto%22%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Brown_Exotic_Shorthair_Kitten.jpg/320px-Brown_Exotic_Shorthair_Kitten.jpg
41,Folsom point,"Main, Description, Age and cultual affiliations",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Folsom_point-Blackwater_Draw.jpg/320px-Folsom_point-Blackwater_Draw.jpg,"Where is Folsom Site, the place where the first sample of a Folsom point was found?",New Mexico,"Colorado, Arizona, California","What is the name of the earlier style of projectile found in 1932, which dated back to 11,500 BCE? ",Clovis point,"Plano point, Eden point, Great Plains point","What are the characteristic wide, shallow grooves along the Folsom point's edges called?",Fluting,"Hafting, Knapping, Grinding",What shape are Folsom points?,leaf-like,"triangular, spear-like, rounded",Which is a Folsom Point?,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Folsom_point.png/320px-Folsom_point.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Lorida%2C_FL_Thonotosassa_type.JPG/320px-Lorida%2C_FL_Thonotosassa_type.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/BareIslandProjPoint.jpg/320px-BareIslandProjPoint.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Hohokam_Arrowhead_Sahuarita_Arizona_2014.jpg/320px-Hohokam_Arrowhead_Sahuarita_Arizona_2014.jpg
42,Stone spheres of Costa Rica,"Main, Description, Post-contact history",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Diquis_Stone_Spheres_Museo_Nacional_CRI_01_2020_1880.jpg/320px-Diquis_Stone_Spheres_Museo_Nacional_CRI_01_2020_1880.jpg,What culture are the Stone Spheres of Costa Rica generally attributed to?,Diquís,"Bribri, Cabecares, Boruca",Who discovered the Stone Spheres of Costa Rica in the 1930s?,United Fruit Company workers,"Samuel Kirkland Lothrop, Doris Stone, National Museum of Costa Rica ",What are most of the Stone Spheres of Costa Rica made of?,Gabbro,"Granite, Basalt, Peridotite",How big are the diameters of the Stone Spheres of Costa Rica?,A range of sizes,"A few centimeters, 2 meters / 6.6 ft, 4 meters / 13 ft",Which are Stone Spheres of Costa Rica?,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Alignment_Diquis_Stone_Spheres_Museo_Nacional_CRI_01_2020_1855.jpg/320px-Alignment_Diquis_Stone_Spheres_Museo_Nacional_CRI_01_2020_1855.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Kelvingrove_Art_Gallery_and_MuseumDSCF0239_11.JPG/320px-Kelvingrove_Art_Gallery_and_MuseumDSCF0239_11.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/MoerakiBouldersSunrise.jpg/320px-MoerakiBouldersSunrise.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cabeza_Colosal_n%C2%BA1_del_Museo_Xalapa.jpg/320px-Cabeza_Colosal_n%C2%BA1_del_Museo_Xalapa.jpg
